Overall ID,Experiment ID,Location ID,Measurement ID,Experiment Condition,timestamp,time,IAQ,Temperature / C,Humidity / %,Compensated Gas / ppm,VOC / ppb,CO2 / ppm,Temperature (Weather),Humidity (Weather),Wind Speed (Weather),AQI (Pollution),CO Concentration,NO2 Concentration
2_2_1,2,2,1,Window Open,2024-12-03 22:42:42,,,,,,,,5.28,89,2.68,1,253.68,19.71
2_2_2,2,2,2,Window Open,2024-12-03 22:42:43,61935.0,25.0,18.27,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_3,2,2,3,Window Open,2024-12-03 22:42:44,62875.0,25.0,18.27,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_4,2,2,4,Window Open,2024-12-03 22:42:45,63875.0,25.0,18.27,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_5,2,2,5,Window Open,2024-12-03 22:42:47,65936.0,25.0,18.28,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_6,2,2,6,Window Open,2024-12-03 22:42:48,66876.0,25.0,18.28,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_7,2,2,7,Window Open,2024-12-03 22:42:49,67937.0,25.0,18.29,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_8,2,2,8,Window Open,2024-12-03 22:42:50,68876.0,25.0,18.29,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_9,2,2,9,Window Open,2024-12-03 22:42:51,69937.0,25.0,18.3,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_10,2,2,10,Window Open,2024-12-03 22:42:52,70877.0,25.0,18.3,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_11,2,2,11,Window Open,2024-12-03 22:42:53,71877.0,25.0,18.3,63.1,4.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_12,2,2,12,Window Open,2024-12-03 22:42:54,72938.0,25.0,18.31,63.11,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_13,2,2,13,Window Open,2024-12-03 22:42:56,74939.0,25.0,18.31,63.11,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_14,2,2,14,Window Open,2024-12-03 22:42:57,75878.0,25.0,18.31,63.11,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_15,2,2,15,Window Open,2024-12-03 22:42:58,76934.0,25.0,18.33,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_16,2,2,16,Window Open,2024-12-03 22:42:59,77874.0,25.0,18.33,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_17,2,2,17,Window Open,2024-12-03 22:43:00,78935.0,25.0,18.34,63.08,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_18,2,2,18,Window Open,2024-12-03 22:43:01,79875.0,25.0,18.34,63.08,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_19,2,2,19,Window Open,2024-12-03 22:43:02,80875.0,25.0,18.34,63.08,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_20,2,2,20,Window Open,2024-12-03 22:43:03,81936.0,25.0,18.35,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_21,2,2,21,Window Open,2024-12-03 22:43:05,83876.0,25.0,18.35,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_22,2,2,22,Window Open,2024-12-03 22:43:06,84937.0,25.0,18.36,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_23,2,2,23,Window Open,2024-12-03 22:43:07,85876.0,25.0,18.36,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_24,2,2,24,Window Open,2024-12-03 22:43:08,86937.0,25.0,18.36,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_25,2,2,25,Window Open,2024-12-03 22:43:10,88877.0,25.0,18.38,63.06,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_26,2,2,26,Window Open,2024-12-03 22:43:11,89878.0,25.0,18.38,63.06,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_27,2,2,27,Window Open,2024-12-03 22:43:12,90878.0,25.0,18.38,63.06,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_28,2,2,28,Window Open,2024-12-03 22:43:13,91939.0,25.0,18.39,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_29,2,2,29,Window Open,2024-12-03 22:43:14,92878.0,25.0,18.39,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_30,2,2,30,Window Open,2024-12-03 22:43:15,93874.0,25.0,18.39,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_31,2,2,31,Window Open,2024-12-03 22:43:16,94874.0,25.0,18.39,63.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_32,2,2,32,Window Open,2024-12-03 22:43:17,96875.0,25.0,18.4,63.08,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_33,2,2,33,Window Open,2024-12-03 22:43:19,97875.0,25.0,18.4,63.08,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_34,2,2,34,Window Open,2024-12-03 22:43:20,98936.0,25.0,18.41,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_35,2,2,35,Window Open,2024-12-03 22:43:21,99946.0,25.0,18.42,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_36,2,2,36,Window Open,2024-12-03 22:43:22,100876.0,25.0,18.42,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_37,2,2,37,Window Open,2024-12-03 22:43:23,101876.0,25.0,18.42,63.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_38,2,2,38,Window Open,2024-12-03 22:43:24,102937.0,25.0,18.44,62.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_39,2,2,39,Window Open,2024-12-03 22:43:25,103877.0,25.0,18.44,62.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_40,2,2,40,Window Open,2024-12-03 22:43:26,104877.0,25.0,18.44,62.09,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_41,2,2,41,Window Open,2024-12-03 22:43:28,105938.0,25.0,18.44,62.1,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_42,2,2,42,Window Open,2024-12-03 22:43:29,107878.0,25.0,18.44,62.1,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_43,2,2,43,Window Open,2024-12-03 22:43:30,108939.0,25.0,18.46,62.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_44,2,2,44,Window Open,2024-12-03 22:43:31,109879.0,25.0,18.46,62.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_45,2,2,45,Window Open,2024-12-03 22:43:32,110934.0,25.0,18.46,62.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_46,2,2,46,Window Open,2024-12-03 22:43:33,111874.0,25.0,18.46,62.07,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_47,2,2,47,Window Open,2024-12-03 22:43:34,112935.0,25.0,18.48,62.05,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_48,2,2,48,Window Open,2024-12-03 22:43:35,113875.0,25.0,18.48,62.05,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_49,2,2,49,Window Open,2024-12-03 22:43:37,115936.0,25.0,18.5,62.06,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
2_2_50,2,2,50,Window Open,2024-12-03 22:43:38,116876.0,25.0,18.5,62.06,5.0,0.49,500.0,5.28,89,2.68,1,253.68,19.71
