Overall ID,Experiment ID,Location ID,Measurement ID,Experiment Condition,timestamp,time,IAQ,Temperature / C,Humidity / %,Compensated Gas / ppm,VOC / ppb,CO2 / ppm,Temperature (Weather),Humidity (Weather),Wind Speed (Weather),AQI (Pollution),CO Concentration,NO2 Concentration
1_1_1,1,1,1,Window Closed,2024-11-27 22:34:26,,,,,,,,1.29,90,2.68,2,293.73,52.78
1_1_2,1,1,2,Window Closed,2024-11-27 22:34:27,15087.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_3,1,1,3,Window Closed,2024-11-27 22:34:29,16087.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_4,1,1,4,Window Closed,2024-11-27 22:34:30,17158.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_5,1,1,5,Window Closed,2024-11-27 22:34:31,18148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_6,1,1,6,Window Closed,2024-11-27 22:34:32,19088.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_7,1,1,7,Window Closed,2024-11-27 22:34:33,20159.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_8,1,1,8,Window Closed,2024-11-27 22:34:34,21089.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_9,1,1,9,Window Closed,2024-11-27 22:34:36,23084.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_10,1,1,10,Window Closed,2024-11-27 22:34:37,24145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_11,1,1,11,Window Closed,2024-11-27 22:34:38,25145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_12,1,1,12,Window Closed,2024-11-27 22:34:39,26085.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_13,1,1,13,Window Closed,2024-11-27 22:34:40,27085.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_14,1,1,14,Window Closed,2024-11-27 22:34:41,29147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_15,1,1,15,Window Closed,2024-11-27 22:34:43,30147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_16,1,1,16,Window Closed,2024-11-27 22:34:44,31147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_17,1,1,17,Window Closed,2024-11-27 22:34:45,32148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_18,1,1,18,Window Closed,2024-11-27 22:34:46,33148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_19,1,1,19,Window Closed,2024-11-27 22:34:47,34148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_20,1,1,20,Window Closed,2024-11-27 22:34:48,36088.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_21,1,1,21,Window Closed,2024-11-27 22:34:50,37088.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_22,1,1,22,Window Closed,2024-11-27 22:34:51,38144.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_23,1,1,23,Window Closed,2024-11-27 22:34:52,39145.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_24,1,1,24,Window Closed,2024-11-27 22:34:53,40084.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_25,1,1,25,Window Closed,2024-11-27 22:34:54,41155.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_26,1,1,26,Window Closed,2024-11-27 22:34:55,43085.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_27,1,1,27,Window Closed,2024-11-27 22:34:57,44086.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_28,1,1,28,Window Closed,2024-11-27 22:34:58,45146.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_29,1,1,29,Window Closed,2024-11-27 22:34:59,46147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_30,1,1,30,Window Closed,2024-11-27 22:35:00,47147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_31,1,1,31,Window Closed,2024-11-27 22:35:01,48087.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
1_1_32,1,1,32,Window Closed,2024-11-27 22:35:02,50087.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,90,2.68,2,293.73,52.78
